Date,daging ayam
2022-01-01,22.0
2022-01-02,0.0
2022-01-03,18.0
2022-01-04,31.0
2022-01-05,25.0
2022-01-06,29.0
2022-01-07,22.0
2022-01-08,18.0
2022-01-09,30.0
2022-01-10,26.0
2022-01-11,23.0
2022-01-12,29.0
2022-01-13,31.0
2022-01-14,26.0
2022-01-15,33.0
2022-01-16,18.0
2022-01-17,30.0
2022-01-18,35.0
2022-01-19,23.0
2022-01-20,32.0
2022-01-21,16.0
2022-01-22,18.0
2022-01-23,23.0
2022-01-24,37.0
2022-01-25,35.0
2022-01-26,31.0
2022-01-27,30.0
2022-01-28,34.0
2022-01-29,24.0
2022-01-30,28.0
2022-01-31,26.0
2022-02-01,30.0
2022-02-02,24.0
2022-02-03,34.0
2022-02-04,27.0
2022-02-05,35.0
2022-02-06,24.0
2022-02-07,32.0
2022-02-08,32.0
2022-02-09,37.0
2022-02-10,35.0
2022-02-11,33.0
2022-02-12,22.0
2022-02-13,26.0
2022-02-14,38.99999999999999
2022-02-15,33.0
2022-02-16,33.0
2022-02-17,22.0
2022-02-18,31.0
2022-02-19,21.0
2022-02-20,38.00000000000001
2022-02-21,38.00000000000001
2022-02-22,41.0
2022-02-23,38.00000000000001
2022-02-24,34.0
2022-02-25,40.0
2022-02-26,38.00000000000001
2022-02-27,35.0
2022-02-28,38.00000000000001
2022-03-01,22.0
2022-03-02,33.0
2022-03-03,31.0
2022-03-04,33.0
2022-03-05,29.0
2022-03-06,31.0
2022-03-07,51.0
2022-03-08,40.0
2022-03-09,34.0
2022-03-10,45.0
2022-03-11,36.0
2022-03-12,29.0
2022-03-13,26.0
2022-03-14,32.0
2022-03-15,33.0
2022-03-16,28.0
2022-03-17,45.0
2022-03-18,38.99999999999999
2022-03-19,41.0
2022-03-20,24.0
2022-03-21,41.0
2022-03-22,31.0
2022-03-23,38.99999999999999
2022-03-24,37.0
2022-03-25,27.0
2022-03-26,31.0
2022-03-27,28.0
2022-03-28,37.0
2022-03-29,42.0
2022-03-30,47.99999999999999
2022-03-31,54.0
2022-04-01,62.0
2022-04-02,82.0
2022-04-03,41.0
2022-04-04,37.0
2022-04-05,43.99999999999999
2022-04-06,40.0
2022-04-07,31.0
2022-04-08,35.0
2022-04-09,28.0
2022-04-10,37.0
2022-04-11,33.0
2022-04-12,27.0
2022-04-13,38.99999999999999
2022-04-14,31.0
2022-04-15,28.0
2022-04-16,41.0
2022-04-17,38.00000000000001
2022-04-18,52.0
2022-04-19,38.99999999999999
2022-04-20,29.0
2022-04-21,29.0
2022-04-22,37.0
2022-04-23,33.0
2022-04-24,36.0
2022-04-25,22.0
2022-04-26,23.0
2022-04-27,38.00000000000001
2022-04-28,47.00000000000001
2022-04-29,52.0
2022-04-30,97.0
2022-05-01,100.0
2022-05-02,25.0
2022-05-03,16.0
2022-05-04,22.0
2022-05-05,19.000000000000004
2022-05-06,18.0
2022-05-07,20.0
2022-05-08,19.000000000000004
2022-05-09,21.0
2022-05-10,18.0
2022-05-11,17.0
2022-05-12,26.0
2022-05-13,26.0
2022-05-14,32.0
2022-05-15,22.0
2022-05-16,21.0
2022-05-17,28.0
2022-05-18,27.0
2022-05-19,30.0
2022-05-20,21.0
2022-05-21,24.0
2022-05-22,30.0
2022-05-23,23.0
2022-05-24,32.0
2022-05-25,13.0
2022-05-26,38.00000000000001
2022-05-27,22.0
2022-05-28,17.0
2022-05-29,29.0
2022-05-30,25.0
2022-05-31,20.0
2022-06-01,29.0
2022-06-02,19.000000000000004
2022-06-03,31.0
2022-06-04,14.0
2022-06-05,29.0
2022-06-06,27.0
2022-06-07,26.0
2022-06-08,32.0
2022-06-09,26.0
2022-06-10,28.0
2022-06-11,16.0
2022-06-12,14.0
2022-06-13,26.0
2022-06-14,17.0
2022-06-15,16.0
2022-06-16,14.0
2022-06-17,21.0
2022-06-18,23.0
2022-06-19,25.0
2022-06-20,27.0
2022-06-21,19.000000000000004
2022-06-22,28.0
2022-06-23,0.0
2022-06-24,26.0
2022-06-25,20.0
2022-06-26,24.0
2022-06-27,20.0
2022-06-28,20.0
2022-06-29,23.0
2022-06-30,25.0
2022-07-01,22.0
2022-07-02,15.0
2022-07-03,12.17972144890037
2022-07-04,26.92359478177977
2022-07-05,22.43632898481647
2022-07-06,13.461797390889885
2022-07-07,19.872177100837447
2022-07-08,30.769822607748303
2022-07-09,37.82124028869063
2022-07-10,48.07784782460672
2022-07-11,32.051898549737814
2022-07-12,28.84670869476404
2022-07-13,34.61605043371684
2022-07-14,17.949063187853177
2022-07-15,23.07736695581123
2022-07-16,26.28255681078501
2022-07-17,26.92359478177977
2022-07-18,12.17972144890037
2022-07-19,23.718404926805977
2022-07-20,19.872177100837447
2022-07-21,23.07736695581123
2022-07-22,29.487746665758788
2022-07-23,21.795291013821718
2022-07-24,19.872177100837447
2022-07-25,19.872177100837447
2022-07-26,17.949063187853177
2022-07-27,17.949063187853177
2022-07-28,26.28255681078501
2022-07-29,21.15425304282696
2022-07-30,23.07736695581123
2022-07-31,30.769822607748303
2022-08-01,21.15425304282696
2022-08-02,26.28255681078501
2022-08-03,35.257088404711595
2022-08-04,17.949063187853177
2022-08-05,21.15425304282696
2022-08-06,21.795291013821718
2022-08-07,28.84670869476404
2022-08-08,23.718404926805977
2022-08-09,12.820759419895127
2022-08-10,29.487746665758788
2022-08-11,24.35944289780074
2022-08-12,28.20567072376928
2022-08-13,28.20567072376928
2022-08-14,17.949063187853177
2022-08-15,31.41086057874306
2022-08-16,13.461797390889885
2022-08-17,19.23113912984269
2022-08-18,19.872177100837447
2022-08-19,33.333974491727325
2022-08-20,28.84670869476404
2022-08-21,21.15425304282696
2022-08-22,32.69293652073257
2022-08-23,29.487746665758788
2022-08-24,20.5132150718322
2022-08-25,30.128784636753544
2022-08-26,12.17972144890037
2022-08-27,0.0
2022-08-28,23.718404926805977
2022-08-29,24.35944289780074
2022-08-30,34.61605043371684
2022-08-31,31.41086057874306
2022-09-01,32.69293652073257
2022-09-02,24.35944289780074
2022-09-03,25.0004808687955
2022-09-04,26.28255681078501
2022-09-05,32.051898549737814
2022-09-06,19.23113912984269
2022-09-07,32.69293652073257
2022-09-08,25.0004808687955
2022-09-09,31.41086057874306
2022-09-10,25.64151883979025
2022-09-11,25.0004808687955
2022-09-12,33.975012462722084
2022-09-13,28.20567072376928
2022-09-14,22.43632898481647
2022-09-15,23.718404926805977
2022-09-16,24.35944289780074
2022-09-17,25.64151883979025
2022-09-18,29.487746665758788
2022-09-19,32.69293652073257
2022-09-20,24.35944289780074
2022-09-21,32.69293652073257
2022-09-22,22.43632898481647
2022-09-23,39.103316230680136
2022-09-24,30.128784636753544
2022-09-25,23.718404926805977
2022-09-26,33.333974491727325
2022-09-27,35.257088404711595
2022-09-28,28.84670869476404
2022-09-29,36.53916434670112
2022-09-30,29.487746665758788
2022-10-01,20.5132150718322
2022-10-02,21.15425304282696
2022-10-03,25.0004808687955
2022-10-04,35.898126375706354
2022-10-05,35.257088404711595
2022-10-06,26.28255681078501
2022-10-07,30.128784636753544
2022-10-08,25.64151883979025
2022-10-09,24.35944289780074
2022-10-10,27.564632752774525
2022-10-11,28.20567072376928
2022-10-12,26.92359478177977
2022-10-13,37.82124028869063
2022-10-14,31.41086057874306
2022-10-15,27.564632752774525
2022-10-16,27.564632752774525
2022-10-17,30.769822607748303
2022-10-18,35.257088404711595
2022-10-19,35.898126375706354
2022-10-20,28.84670869476404
2022-10-21,44.87265796963294
2022-10-22,16.666987245863663
2022-10-23,25.0004808687955
2022-10-24,35.898126375706354
2022-10-25,39.744354201674895
2022-10-26,37.82124028869063
2022-10-27,25.64151883979025
2022-10-28,19.872177100837447
2022-10-29,21.795291013821718
2022-10-30,30.769822607748303
2022-10-31,38.46227825968538
2022-11-01,39.103316230680136
2022-11-02,50.64199970858576
2022-11-03,42.94954405664866
2022-11-04,31.41086057874306
2022-11-05,23.07736695581123
2022-11-06,25.0004808687955
2022-11-07,33.333974491727325
2022-11-08,38.46227825968538
2022-11-09,36.53916434670112
2022-11-10,43.59058202764343
2022-11-11,39.103316230680136
2022-11-12,21.15425304282696
2022-11-13,28.84670869476404
2022-11-14,31.41086057874306
2022-11-15,50.000961737591
2022-11-16,28.84670869476404
2022-11-17,46.15473391162246
2022-11-18,42.94954405664866
2022-11-19,28.20567072376928
2022-11-20,29.487746665758788
2022-11-21,31.41086057874306
2022-11-22,41.66746811465916
2022-11-23,36.53916434670112
2022-11-24,33.333974491727325
2022-11-25,23.718404926805977
2022-11-26,35.257088404711595
2022-11-27,35.257088404711595
2022-11-28,44.23161999863819
2022-11-29,44.23161999863819
2022-11-30,32.051898549737814
2022-12-01,43.59058202764343
2022-12-02,35.898126375706354
2022-12-03,24.35944289780074
2022-12-04,28.84670869476404
2022-12-05,35.257088404711595
2022-12-06,41.66746811465916
2022-12-07,46.15473391162246
2022-12-08,64.10379709947563
2022-12-09,53.20615159256477
2022-12-10,32.051898549737814
2022-12-11,24.35944289780074
2022-12-12,28.84670869476404
2022-12-13,32.051898549737814
2022-12-14,26.28255681078501
2022-12-15,23.718404926805977
2022-12-16,32.69293652073257
2022-12-17,29.487746665758788
2022-12-18,26.92359478177977
2022-12-19,24.35944289780074
2022-12-20,16.025949274868907
2022-12-21,28.20567072376928
2022-12-22,18.590101158847933
2022-12-23,23.718404926805977
2022-12-24,14.102835361884638
2022-12-25,28.20567072376928
2022-12-26,26.28255681078501
2022-12-27,23.718404926805977
2022-12-28,21.15425304282696
2022-12-29,23.718404926805977
2022-12-30,33.333974491727325
2022-12-31,44.23161999863819
2023-01-01,27.564632752774525
2023-01-02,16.593535984620928
2023-01-03,24.40225880091313
2023-01-04,28.30662020905923
2023-01-05,22.45007809684008
2023-01-06,33.187071969241856
2023-01-07,15.617445632584404
2023-01-08,15.617445632584404
2023-01-09,23.42616844887661
2023-01-10,20.49789739276703
2023-01-11,23.42616844887661
2023-01-12,32.21098161720533
2023-01-13,24.40225880091313
2023-01-14,24.40225880091313
2023-01-15,21.47398774480355
2023-01-16,36.11534302535144
2023-01-17,20.49789739276703
2023-01-18,16.593535984620928
2023-01-19,30.25880091313228
2023-01-20,20.49789739276703
2023-01-21,24.40225880091313
2023-01-22,29.28271056109575
2023-01-23,17.569626336657453
2023-01-24,24.40225880091313
2023-01-25,29.28271056109575
2023-01-26,23.42616844887661
2023-01-27,23.42616844887661
2023-01-28,25.378349152949653
2023-01-29,18.54571668869398
2023-01-30,35.13925267331491
2023-01-31,24.40225880091313
2023-02-01,37.09143337738796
2023-02-02,36.11534302535144
2023-02-03,28.30662020905923
2023-02-04,24.40225880091313
2023-02-05,26.354439504986185
2023-02-06,30.25880091313228
2023-02-07,30.25880091313228
2023-02-08,32.21098161720533
2023-02-09,38.06752372942449
2023-02-10,31.23489126516881
2023-02-11,27.330529857022707
2023-02-12,29.28271056109575
2023-02-13,32.21098161720533
2023-02-14,29.28271056109575
2023-02-15,30.25880091313228
2023-02-16,28.30662020905923
2023-02-17,18.54571668869398
2023-02-18,19.521807040730504
2023-02-19,23.42616844887661
2023-02-20,32.21098161720533
2023-02-21,38.06752372942449
2023-02-22,42.9479754896071
2023-02-23,29.28271056109575
2023-02-24,30.25880091313228
2023-02-25,28.30662020905923
2023-02-26,26.354439504986185
2023-02-27,29.28271056109575
2023-02-28,32.21098161720533
2023-03-01,25.378349152949653
2023-03-02,25.378349152949653
2023-03-03,31.23489126516881
2023-03-04,28.30662020905923
2023-03-05,42.9479754896071
2023-03-06,37.09143337738796
2023-03-07,33.187071969241856
2023-03-08,40.99579478553406
2023-03-09,37.09143337738796
2023-03-10,30.25880091313228
2023-03-11,22.45007809684008
2023-03-12,22.45007809684008
2023-03-13,28.30662020905923
2023-03-14,38.06752372942449
2023-03-15,34.16316232127838
2023-03-16,35.13925267331491
2023-03-17,41.97188513757058
2023-03-18,23.42616844887661
2023-03-19,40.99579478553406
2023-03-20,26.354439504986185
2023-03-21,60.51760182626456
2023-03-22,79.06331851495855
2023-03-23,44.90015619368016
2023-03-24,32.21098161720533
2023-03-25,36.11534302535144
2023-03-26,38.06752372942449
2023-03-27,36.11534302535144
2023-03-28,40.01970443349754
2023-03-29,36.11534302535144
2023-03-30,40.01970443349754
2023-03-31,28.30662020905923
2023-04-01,32.21098161720533
2023-04-02,34.16316232127838
2023-04-03,27.330529857022707
2023-04-04,38.06752372942449
2023-04-05,36.11534302535144
2023-04-06,35.13925267331491
2023-04-07,31.23489126516881
2023-04-08,30.25880091313228
2023-04-09,29.28271056109575
2023-04-10,27.330529857022707
2023-04-11,18.54571668869398
2023-04-12,32.21098161720533
2023-04-13,31.23489126516881
2023-04-14,27.330529857022707
2023-04-15,32.21098161720533
2023-04-16,19.521807040730504
2023-04-17,27.330529857022707
2023-04-18,33.187071969241856
2023-04-19,64.42196323441065
2023-04-20,77.1111378108855
2023-04-21,97.60903520365252
2023-04-22,17.569626336657453
2023-04-23,18.54571668869398
2023-04-24,18.54571668869398
2023-04-25,17.569626336657453
2023-04-26,19.521807040730504
2023-04-27,25.378349152949653
2023-04-28,19.521807040730504
2023-04-29,25.378349152949653
2023-04-30,23.42616844887661
2023-05-01,28.30662020905923
2023-05-02,27.330529857022707
2023-05-03,24.40225880091313
2023-05-04,31.23489126516881
2023-05-05,30.25880091313228
2023-05-06,25.378349152949653
2023-05-07,27.330529857022707
2023-05-08,21.47398774480355
2023-05-09,24.40225880091313
2023-05-10,41.97188513757058
2023-05-11,42.9479754896071
2023-05-12,34.16316232127838
2023-05-13,17.569626336657453
2023-05-14,23.42616844887661
2023-05-15,35.13925267331491
2023-05-16,27.330529857022707
2023-05-17,16.593535984620928
2023-05-18,23.42616844887661
2023-05-19,21.47398774480355
2023-05-20,25.378349152949653
2023-05-21,19.521807040730504
2023-05-22,16.593535984620928
2023-05-23,25.378349152949653
2023-05-24,32.21098161720533
2023-05-25,22.45007809684008
2023-05-26,27.330529857022707
2023-05-27,35.13925267331491
2023-05-28,31.23489126516881
2023-05-29,18.54571668869398
2023-05-30,32.21098161720533
2023-05-31,18.54571668869398
2023-06-01,19.521807040730504
2023-06-02,21.47398774480355
2023-06-03,17.569626336657453
2023-06-04,25.378349152949653
2023-06-05,25.378349152949653
2023-06-06,32.21098161720533
2023-06-07,27.330529857022707
2023-06-08,27.330529857022707
2023-06-09,26.354439504986185
2023-06-10,20.49789739276703
2023-06-11,16.593535984620928
2023-06-12,30.25880091313228
2023-06-13,19.521807040730504
2023-06-14,23.42616844887661
2023-06-15,24.40225880091313
2023-06-16,21.47398774480355
2023-06-17,21.47398774480355
